epoch,train_loss,val_loss,val_iou,val_f1,epoch_time_s,total_time_s
1,0.394629,0.294336,0.630975,0.773506,57.4,57.4
2,0.303337,0.309525,0.625536,0.769636,59.4,127.0
3,0.279166,0.279982,0.652171,0.789446,60.6,187.5
4,0.251636,0.247263,0.687495,0.814047,60.4,248.4
5,0.230574,0.252266,0.702488,0.825201,60.4,309.1
6,0.232060,0.268896,0.661188,0.796019,60.4,369.9
7,0.213466,0.243216,0.690750,0.817015,60.2,430.1
8,0.204377,0.261728,0.677671,0.807846,60.3,490.4
9,0.194935,0.255209,0.687636,0.814737,60.2,550.6
10,0.183153,0.262689,0.683386,0.811759,60.1,610.7
11,0.178528,0.244015,0.697913,0.822077,60.1,670.8
12,0.174450,0.234500,0.708937,0.829668,60.0,730.9
13,0.170709,0.237743,0.713338,0.832550,60.2,791.4
14,0.161615,0.265771,0.678907,0.808748,60.2,852.1
15,0.163434,0.257759,0.690074,0.816582,60.2,912.3
16,0.163490,0.241402,0.695944,0.820421,61.0,973.3
17,0.157991,0.234710,0.708774,0.829239,60.9,1034.2
18,0.149575,0.256077,0.694223,0.819395,60.0,1094.2
19,0.150613,0.254283,0.700698,0.823948,60.2,1154.4
20,0.147345,0.255498,0.695822,0.820586,60.1,1214.6
21,0.269388,0.243185,0.686504,0.814003,89.0,1303.6
22,0.207871,0.230083,0.700063,0.823084,89.1,1392.7
23,0.191807,0.198421,0.735636,0.847312,89.2,1481.9
24,0.184353,0.249057,0.696229,0.820860,89.4,1573.3
25,0.167606,0.227733,0.710327,0.830013,89.1,1662.4
26,0.157985,0.299594,0.660930,0.795270,89.6,1752.0
27,0.146462,0.243072,0.713478,0.832342,89.2,1841.3
28,0.122953,0.247212,0.715775,0.834032,88.8,1930.1
29,0.120056,0.254042,0.707770,0.828330,88.9,2019.0
30,0.114166,0.174913,0.777450,0.873906,89.0,2108.0
31,0.122424,0.269256,0.701841,0.824722,89.0,2197.9
32,0.112922,0.244223,0.723306,0.839296,88.8,2286.7
33,0.110233,0.254050,0.702270,0.825065,88.8,2375.5
34,0.099661,0.234762,0.733052,0.845051,88.8,2464.3
35,0.096586,0.222691,0.741273,0.850929,88.6,2552.9
36,0.094623,0.233705,0.736734,0.847918,88.8,2641.6
37,0.094216,0.222446,0.743443,0.852582,88.5,2730.2
38,0.092576,0.233925,0.734763,0.846273,88.9,2819.1
39,0.089905,0.229818,0.742560,0.851470,89.6,2908.7
40,0.083478,0.236067,0.744361,0.852674,88.9,2997.7
